date,customer_id,product,quantity,unit_price,total_value,month
2023-01-01,Customer_000,Chicken Dips,46,10.11,464.89,1
2023-01-01,Customer_000,Cheese Dips,34,29.37,998.42,1
2023-01-01,Customer_000,Drinks,23,16.61,381.97,1
2023-01-01,Customer_000,Sauces,51,49.2,2509.08,1
2023-01-01,Customer_000,Frozen Items,10,28.83,288.34,1
2023-01-01,Customer_001,Chicken Dips,21,49.83,1046.46,1
2023-01-01,Customer_001,Cheese Dips,42,45.52,1911.79,1
2023-01-01,Customer_001,Drinks,24,20.26,486.15,1
2023-01-01,Customer_001,Sauces,24,36.52,876.39,1
2023-01-01,Customer_001,Frozen Items,12,43.53,522.42,1
2023-01-01,Customer_002,Chicken Dips,15,40.09,601.42,1
2023-01-01,Customer_002,Cheese Dips,30,43.29,1298.75,1
2023-01-01,Customer_002,Drinks,35,12.27,429.57,1
2023-01-01,Customer_002,Sauces,44,35.1,1544.6,1
2023-01-01,Customer_002,Frozen Items,25,21.75,543.82,1
2023-01-01,Customer_003,Chicken Dips,10,34.86,348.58,1
2023-01-01,Customer_003,Cheese Dips,22,12.24,269.2,1
2023-01-01,Customer_003,Drinks,2,26.85,53.71,1
2023-01-01,Customer_003,Sauces,25,34.34,858.46,1
2023-01-01,Customer_003,Frozen Items,51,12.92,658.75,1
2023-01-01,Customer_004,Chicken Dips,32,15.68,501.64,1
2023-01-01,Customer_004,Cheese Dips,41,13.05,534.93,1
2023-01-01,Customer_004,Drinks,8,34.23,273.87,1
2023-01-01,Customer_004,Sauces,26,37.44,973.5,1
2023-01-01,Customer_004,Frozen Items,32,29.41,941.26,1
2023-01-01,Customer_005,Chicken Dips,13,33.63,437.25,1
2023-01-01,Customer_005,Cheese Dips,26,15.98,415.47,1
2023-01-01,Customer_005,Drinks,48,49.05,2354.41,1
2023-01-01,Customer_005,Sauces,26,45.14,1173.69,1
2023-01-01,Customer_005,Frozen Items,27,20.75,560.35,1
2023-01-01,Customer_006,Chicken Dips,41,30.96,1269.39,1
2023-01-01,Customer_006,Cheese Dips,27,13.79,372.22,1
2023-01-01,Customer_006,Drinks,17,30.74,522.58,1
2023-01-01,Customer_006,Sauces,14,6.96,97.47,1
2023-01-01,Customer_006,Frozen Items,47,44.76,2103.59,1
2023-01-01,Customer_007,Chicken Dips,10,47.89,478.88,1
2023-01-01,Customer_007,Cheese Dips,36,29.87,1075.48,1
2023-01-01,Customer_007,Drinks,8,49.11,392.92,1
2023-01-01,Customer_007,Sauces,23,18.25,419.75,1
2023-01-01,Customer_007,Frozen Items,12,13.59,163.09,1
2023-01-01,Customer_008,Chicken Dips,38,19.26,731.94,1
2023-01-01,Customer_008,Cheese Dips,18,30.06,541.01,1
2023-01-01,Customer_008,Drinks,8,36.32,290.57,1
2023-01-01,Customer_008,Sauces,31,8.17,253.23,1
2023-01-01,Customer_008,Frozen Items,14,32.68,457.45,1
2023-01-01,Customer_009,Chicken Dips,13,21.14,274.81,1
2023-01-01,Customer_009,Cheese Dips,34,44.48,1512.38,1
2023-01-01,Customer_009,Drinks,1,43.19,43.19,1
2023-01-01,Customer_009,Sauces,27,36.61,988.52,1
2023-01-01,Customer_009,Frozen Items,33,18.21,600.98,1
2023-01-01,Customer_010,Chicken Dips,12,23.89,286.68,1
2023-01-01,Customer_010,Cheese Dips,44,44.02,1936.8,1
2023-01-01,Customer_010,Drinks,16,5.23,83.73,1
2023-01-01,Customer_010,Sauces,37,40.92,1514.16,1
2023-01-01,Customer_010,Frozen Items,13,8.19,106.5,1
2023-01-01,Customer_011,Chicken Dips,18,20.21,363.78,1
2023-01-01,Customer_011,Cheese Dips,36,9.23,332.25,1
2023-01-01,Customer_011,Drinks,45,35.24,1585.85,1
2023-01-01,Customer_011,Sauces,5,25.95,129.76,1
2023-01-01,Customer_011,Frozen Items,6,31.59,189.52,1
2023-01-01,Customer_012,Chicken Dips,10,16.26,162.61,1
2023-01-01,Customer_012,Cheese Dips,50,42.02,2100.85,1
2023-01-01,Customer_012,Drinks,8,29.17,233.35,1
2023-01-01,Customer_012,Sauces,32,28.5,912.03,1
2023-01-01,Customer_012,Frozen Items,21,17.22,361.61,1
2023-01-01,Customer_013,Chicken Dips,29,25.58,741.73,1
2023-01-01,Customer_013,Cheese Dips,48,7.33,351.63,1
2023-01-01,Customer_013,Drinks,36,23.51,846.39,1
2023-01-01,Customer_013,Sauces,11,33.68,370.53,1
2023-01-01,Customer_013,Frozen Items,38,10.97,416.99,1
2023-01-01,Customer_014,Chicken Dips,14,28.23,395.27,1
2023-01-01,Customer_014,Cheese Dips,32,40.78,1305.07,1
2023-01-01,Customer_014,Drinks,16,24.75,396.06,1
2023-01-01,Customer_014,Sauces,13,16.29,211.75,1
2023-01-01,Customer_014,Frozen Items,22,48.32,1063.02,1
2023-01-01,Customer_015,Chicken Dips,28,24.27,679.68,1
2023-01-01,Customer_015,Cheese Dips,43,7.62,327.6,1
2023-01-01,Customer_015,Drinks,29,12.04,349.15,1
2023-01-01,Customer_015,Sauces,16,15.79,252.65,1
2023-01-01,Customer_015,Frozen Items,49,37.16,1820.68,1
2023-01-01,Customer_016,Chicken Dips,24,47.06,1129.38,1
2023-01-01,Customer_016,Cheese Dips,23,47.97,1103.29,1
2023-01-01,Customer_016,Drinks,31,34.57,1071.67,1
2023-01-01,Customer_016,Sauces,28,32.53,910.77,1
2023-01-01,Customer_016,Frozen Items,50,7.15,357.36,1
2023-01-01,Customer_017,Chicken Dips,49,21.02,1029.92,1
2023-01-01,Customer_017,Cheese Dips,32,10.41,333.04,1
2023-01-01,Customer_017,Drinks,18,9.24,166.27,1
2023-01-01,Customer_017,Sauces,47,12.89,605.82,1
2023-01-01,Customer_017,Frozen Items,9,39.35,354.16,1
2023-01-01,Customer_018,Chicken Dips,28,26.31,736.57,1
2023-01-01,Customer_018,Cheese Dips,6,25.91,155.46,1
2023-01-01,Customer_018,Drinks,12,22.93,275.19,1
2023-01-01,Customer_018,Sauces,32,47.71,1526.77,1
2023-01-01,Customer_018,Frozen Items,3,7.04,21.12,1
2023-01-01,Customer_019,Chicken Dips,52,33.16,1724.51,1
2023-01-01,Customer_019,Cheese Dips,16,27.55,440.75,1
2023-01-01,Customer_019,Drinks,30,34.64,1039.24,1
2023-01-01,Customer_019,Sauces,13,32.71,425.27,1
2023-01-01,Customer_019,Frozen Items,22,47.49,1044.81,1
2023-01-01,Customer_020,Chicken Dips,10,30.9,308.96,1
2023-01-01,Customer_020,Cheese Dips,35,30.8,1078.05,1
2023-01-01,Customer_020,Drinks,34,25.62,871.13,1
2023-01-01,Customer_020,Sauces,34,41.93,1425.58,1
2023-01-01,Customer_020,Frozen Items,6,41.92,251.52,1
2023-01-01,Customer_021,Chicken Dips,48,45.74,2195.56,1
2023-01-01,Customer_021,Cheese Dips,39,6.75,263.38,1
2023-01-01,Customer_021,Drinks,41,35.74,1465.15,1
2023-01-01,Customer_021,Sauces,27,34.51,931.7,1
2023-01-01,Customer_021,Frozen Items,15,35.67,535.09,1
2023-01-01,Customer_022,Chicken Dips,9,16.73,150.58,1
2023-01-01,Customer_022,Cheese Dips,13,10.32,134.13,1
2023-01-01,Customer_022,Drinks,15,20.68,310.13,1
2023-01-01,Customer_022,Sauces,40,38.08,1523.13,1
2023-01-01,Customer_022,Frozen Items,36,48.54,1747.48,1
2023-01-01,Customer_023,Chicken Dips,25,12.98,324.62,1
2023-01-01,Customer_023,Cheese Dips,31,30.58,948.09,1
2023-01-01,Customer_023,Drinks,38,49.57,1883.76,1
2023-01-01,Customer_023,Sauces,37,21.74,804.41,1
2023-01-01,Customer_023,Frozen Items,49,31.12,1525.1,1
2023-01-01,Customer_024,Chicken Dips,45,46.88,2109.78,1
2023-01-01,Customer_024,Cheese Dips,25,15.74,393.42,1
2023-01-01,Customer_024,Drinks,32,38.79,1241.25,1
2023-01-01,Customer_024,Sauces,42,15.72,660.27,1
2023-01-01,Customer_024,Frozen Items,0,29.04,0.0,1
2023-01-01,Customer_025,Chicken Dips,37,42.19,1561.05,1
2023-01-01,Customer_025,Cheese Dips,41,18.39,754.14,1
2023-01-01,Customer_025,Drinks,15,22.51,337.71,1
2023-01-01,Customer_025,Sauces,10,43.12,431.21,1
2023-01-01,Customer_025,Frozen Items,8,19.37,154.95,1
2023-01-01,Customer_026,Chicken Dips,7,30.8,215.63,1
2023-01-01,Customer_026,Cheese Dips,29,9.13,264.67,1
2023-01-01,Customer_026,Drinks,21,29.92,628.25,1
2023-01-01,Customer_026,Sauces,42,38.86,1631.99,1
2023-01-01,Customer_026,Frozen Items,32,40.16,1285.07,1
2023-01-01,Customer_027,Chicken Dips,14,9.1,127.46,1
2023-01-01,Customer_027,Cheese Dips,23,48.84,1123.35,1
2023-01-01,Customer_027,Drinks,23,24.87,571.98,1
2023-01-01,Customer_027,Sauces,31,29.57,916.55,1
2023-01-01,Customer_027,Frozen Items,42,48.59,2040.75,1
2023-01-01,Customer_028,Chicken Dips,20,39.27,785.36,1
2023-01-01,Customer_028,Cheese Dips,31,9.55,296.07,1
2023-01-01,Customer_028,Drinks,44,24.17,1063.66,1
2023-01-01,Customer_028,Sauces,38,8.27,314.42,1
2023-01-01,Customer_028,Frozen Items,4,45.14,180.54,1
2023-01-01,Customer_029,Chicken Dips,30,8.66,259.82,1
2023-01-01,Customer_029,Cheese Dips,40,15.5,619.81,1
2023-01-01,Customer_029,Drinks,29,21.84,633.42,1
2023-01-01,Customer_029,Sauces,38,44.62,1695.42,1
2023-01-01,Customer_029,Frozen Items,44,47.63,2095.55,1
2023-01-01,Customer_030,Chicken Dips,22,31.63,695.97,1
2023-01-01,Customer_030,Cheese Dips,45,21.93,986.93,1
2023-01-01,Customer_030,Drinks,30,39.97,1199.15,1
2023-01-01,Customer_030,Sauces,40,36.73,1469.15,1
2023-01-01,Customer_030,Frozen Items,21,45.79,961.5,1
2023-01-01,Customer_031,Chicken Dips,37,24.55,908.36,1
2023-01-01,Customer_031,Cheese Dips,7,26.09,182.63,1
2023-01-01,Customer_031,Drinks,30,38.34,1150.31,1
2023-01-01,Customer_031,Sauces,34,10.29,349.82,1
2023-01-01,Customer_031,Frozen Items,9,38.49,346.41,1
